Recipient,Total,Party,Chamber
"Bennet, Michael",3000,Democrat,Senate
"Reid, Harry",3500,Democrat,Senate
"Halvorson, Deborah",1250,Democrat,House
"Burr, Richard",1000,Republican,Senate
"Baucus, Max",1250,Democrat,Senate
"Bingaman, Jeff",1000,Democrat,Senate
"Carnahan, Robin",500,Democrat,Senate
"Murkowski, Lisa",1000,Independent,Senate
"Grassley, Chuck",2000,Republican,Senate
"Foster, Bill",750,Democrat,House
"McNerney, Jerry",1500,Democrat,House
"Flake, Jeff",3000,Republican,House
"Whitfield, Ed",2000,Republican,House
"Feinstein, Dianne",4000,Democrat,Senate
"Brown, Sherrod",3000,Democrat,Senate
"Menendez, Robert",3000,Democrat,Senate
"Latta, Robert E",2000,Republican,House
"Kaptur, Marcy",2000,Democrat,House
"Gosar, Paul",1000,Republican,House
"Barber, Ron",1000,Democrat,House
"Camp, Dave",5000,Republican,House
"Heinrich, Martin",4000,Democrat,House
"McCaskill, Claire",1500,Democrat,Senate
"Murphy, Christopher S",1500,Democrat,House
"Donnelly, Joe",1500,Democrat,House
"Tester, Jon",2000,Democrat,Senate
"Duckworth, Tammy",500,Democrat,House
"Risch, James E",1000,Republican,Senate
"Enyart, William",500,Democrat,House
"Shaheen, Jeanne",1000,Democrat,Senate
"Reichert, Dave",1000,Republican,House
"Baldwin, Tammy",1000,Democrat,House
"Kaine, Tim",1000,Democrat,Senate
"Lucas, Frank D",1000,Republican,House
"Heller, Dean",2000,Republican,Senate
"Garagiola, Robert J",500,Democrat,House
"Berkley, Shelley",1000,Democrat,House
"Stabenow, Debbie",1000,Democrat,Senate
"Bilbray, Brian P",1000,Republican,House
"Hatch, Orrin G",1000,Republican,Senate
"Nelson, Bill",1000,Democrat,Senate
"Johnson, Tim",1000,Democrat,Senate
"Waxman, Henry",750,Democrat,House
"Calvert, Ken",500,Republican,House
"Cardin, Ben",500,Democrat,Senate
"Bass, Charles",500,Republican,House
"Gardner, Cory",500,Republican,House
"Gibson, Chris",500,Republican,House
"Frelinghuysen, Rodney",500,Republican,House
"Neal, Richard E",250,Democrat,House
